                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.1724,                 2.8917,                 2.6414,                0.36854,                0.47758,                0.44484,                0.16535,                 2.5526,                 3.4684,                  2.702,             0.00098268,             0.00098268,             0.00098268
                     37,                  2.221,                 2.7421,                 2.6181,                 0.3068,                0.62096,                0.46782,                0.19754,                  2.325,                 4.7042,                 2.5676,             0.00098218,             0.00098218,             0.00098218
                     38,                 2.1062,                 2.8417,                 2.5573,                0.67427,                 0.3308,                0.46527,                0.17299,                 2.2073,                 3.1943,                 2.3945,             0.00098169,             0.00098169,             0.00098169
                     39,                 2.2699,                 2.7906,                  2.563,                0.66487,                0.31111,                0.51026,                0.19209,                 2.1291,                 3.0298,                 2.3307,             0.00098119,             0.00098119,             0.00098119
                     40,                 2.1614,                 2.6858,                 2.5716,                0.45895,                0.58709,                0.55598,                0.26556,                  1.963,                 3.1094,                 2.2548,             0.00098069,             0.00098069,             0.00098069
                     41,                 2.0427,                 2.7045,                 2.4459,                0.48434,                0.47084,                0.54992,                0.26615,                 1.9163,                 3.0706,                 2.3372,              0.0009802,              0.0009802,              0.0009802
                     42,                  2.187,                 2.8802,                 2.6023,                0.41209,                0.62222,                0.55656,                0.26733,                 2.0559,                 2.8725,                 2.2924,              0.0009797,              0.0009797,              0.0009797
                     43,                 2.1045,                 2.7345,                 2.4499,                 0.4769,                 0.4658,                0.55683,                0.25596,                 2.0502,                 2.9386,                 2.2961,             0.00097921,             0.00097921,             0.00097921
                     44,                 2.0241,                 2.7962,                 2.4559,                 0.0631,                0.97778,                0.51656,                0.20129,                 1.8741,                 3.5945,                 2.7274,             0.00097872,             0.00097872,             0.00097872
                     45,                 1.9675,                 2.5317,                 2.3813,                0.58396,                0.34063,                 0.5199,                0.15596,                 1.9516,                  3.731,                 2.8318,             0.00097822,             0.00097822,             0.00097822
                     46,                 2.0996,                  2.533,                 2.5089,                0.42664,                0.59776,                0.48385,                0.19799,                 1.8287,                 2.7437,                 2.4137,             0.00097773,             0.00097773,             0.00097773
                     47,                 2.0327,                 2.7099,                 2.4384,                0.53636,                0.45852,                0.46485,                0.21719,                 1.7649,                 2.7653,                 2.2568,             0.00097723,             0.00097723,             0.00097723
                     48,                 2.1812,                 2.6175,                 2.5075,                0.36266,                0.61385,                0.52867,                 0.2713,                 1.7647,                 2.6374,                 2.2653,             0.00097674,             0.00097674,             0.00097674
                     49,                 2.0112,                 2.4258,                  2.375,                0.36495,                0.51466,                0.54153,                0.23276,                 1.8095,                 2.6413,                 2.2856,             0.00097624,             0.00097624,             0.00097624
                     50,                 1.9844,                 2.3661,                 2.4162,                 0.8024,                0.35883,                0.63776,                0.21393,                 1.9736,                 2.9631,                 2.4963,             0.00097575,             0.00097575,             0.00097575
                     51,                 1.8593,                 2.4175,                 2.2967,                0.84377,                0.35137,                0.66455,                0.24637,                 1.8794,                 2.8379,                 2.4163,             0.00097525,             0.00097525,             0.00097525
                     52,                 1.9917,                 2.3904,                 2.3917,                0.71478,                0.49522,                0.67472,                0.36633,                 1.6673,                 2.7536,                 2.2326,             0.00097476,             0.00097476,             0.00097476
                     53,                 1.9426,                 2.4194,                 2.4002,                0.79088,                0.32642,                0.63215,                0.32058,                 1.6811,                 3.0692,                 2.2726,             0.00097426,             0.00097426,             0.00097426
                     54,                 2.0765,                 2.6798,                 2.4477,                0.78939,                0.48889,                0.67796,                0.38943,                 1.6728,                 2.2809,                 2.0635,             0.00097377,             0.00097377,             0.00097377
                     55,                 1.9334,                 2.5178,                 2.3335,                0.59605,                    0.7,                0.69718,                0.40322,                 1.6463,                  2.357,                 2.1048,             0.00097327,             0.00097327,             0.00097327
                     56,                 2.0314,                 2.4428,                 2.3379,                 0.5955,                0.47778,                0.65016,                0.29432,                 1.9948,                 3.2002,                 2.4483,             0.00097278,             0.00097278,             0.00097278
                     57,                 1.9535,                 2.3407,                 2.3011,                0.56474,                0.62716,                0.69927,                0.35826,                 1.7856,                 2.3473,                 2.2453,             0.00097228,             0.00097228,             0.00097228
                     58,                 1.9647,                 2.4239,                 2.3283,                0.59716,                0.66636,                0.70285,                 0.3976,                 1.5916,                 2.1368,                 2.0757,             0.00097179,             0.00097179,             0.00097179
                     59,                 1.9834,                 2.3585,                  2.321,                0.80062,                0.50857,                0.68388,                0.39287,                 1.5721,                 2.0747,                 2.0238,             0.00097129,             0.00097129,             0.00097129
                     60,                 1.8635,                 2.2923,                 2.2868,                0.50508,                0.62804,                0.61687,                 0.3237,                  1.759,                 3.1478,                 2.3147,              0.0009708,              0.0009708,              0.0009708
                     61,                 1.8826,                 2.2004,                 2.2929,                0.40827,                0.66289,                0.58805,                0.27219,                 1.9331,                 3.3702,                 2.4485,              0.0009703,              0.0009703,              0.0009703
